"source_id","year","title","venue","topic","existing_work","project_difference","evidence_strength","allowed_novelty_claim","forbidden_overreach","url","doi","peer_review_status","study_design_level","source_fitness_grade"
"S11","2025","HECLIP: histology-enhanced contrastive learning for imputation of transcriptomics profiles","Bioinformatics","图像中心对比；近邻插补","HECLIP学习图像-表达共同空间并由参考spot近邻平均插补表达","PFMval目标是可审计的绝对通路连续值，不能依赖未披露参考库","B；直接但检索依赖明显、同行评议","可声称图像中心对比和近邻插补是可比较基线","不可称其为无参考库的纯图像独立表达生成器","https://pubmed.ncbi.nlm.nih.gov/40569046/","10.1093/bioinformatics/btaf363","peer-reviewed journal","VI","B"
"S12","2024","Multimodal contrastive learning for spatial gene expression prediction using histology images","Briefings in Bioinformatics","空间上下文；对比检索","mclSTExp用Transformer建模spot上下文、DenseNet提取图像并以top-k参考表达聚合预测","PFMval为通路级回归且需要明确绝对值和患者级泛化","B；直接但参考库和切片级验证受限、同行评议","可声称空间上下文与跨模态对齐是可用基线方向","不可声称其证明无参考库预测或患者级外推","https://pubmed.ncbi.nlm.nih.gov/39471412/","10.1093/bib/bbae551","peer-reviewed journal","VI","B"
"S13","2020","Integrating spatial gene expression and breast tumour morphology via deep learning","Nature Biomedical Engineering","奠基性H&E到表达","ST-Net在23位乳腺癌患者、30612个spot上建立局部H&E到基因表达预测","PFMval癌种、输出单位和评价目标均不同","B+；奠基性直接研究、同行评议","可声称从H&E预测局部表达具有早期同行评议可行性证据","不可称其支持通路级、对比学习或当前SOTA","https://www.nature.com/articles/s41551-020-0578-x","10.1038/s41551-020-0578-x","peer-reviewed journal","VI","B+"
"S14","2024","Transcriptomics-guided Slide Representation Learning in Computational Pathology","CVPR","转录组监督；slide表征","TANGLE在数千对WSI-bulk transcriptomics上做跨模态对比预训练并评估下游任务","PFMval是局部通路回归且数据量远小，不能复现大规模slide预训练","A；直接、多队列、同行评议","可声称转录组监督可塑造病理视觉表征","不可声称小样本从头对比训练必然改善表达回归","https://openaccess.thecvf.com/content/CVPR2024/html/Jaume_Transcriptomics-guided_Slide_Representation_Learning_in_Computational_Pathology_CVPR_2024_paper.html","","peer-reviewed conference","VI","A"
"S15","2025","A visual-omics foundation model to bridge histopathology with spatial transcriptomics","Nature Methods","视觉-组学基础模型；检索","OmiCLIP/Loki以大规模图像-表达配对做对比对齐和参考表达检索","PFMval需要30通路数值预测，而OmiCLIP本身不是生成式绝对表达解码器","A-；大规模、同行评议","可声称视觉-组学共同潜空间与检索已被大规模验证","不可称OmiCLIP能脱离参考表达库直接生成转录组","https://www.nature.com/articles/s41592-025-02707-1","10.1038/s41592-025-02707-1","peer-reviewed journal","VI","A-"
"S16","2024","Modeling Dense Multimodal Interactions Between Biological Pathways and Histology for Survival Prediction","CVPR","通路token；生存预测","SurvPath把真实bulk transcriptomics聚合为pathway token并与WSI patch交叉注意","PFMval若从同一H&E派生通路，则并非独立实测组学模态","A；直接、多队列、同行评议","可声称通路token化和pathway-patch交互具有正式先例","不可把H&E派生通路称为独立多模态证据","https://openaccess.thecvf.com/content/CVPR2024/html/Jaume_Modeling_Dense_Multimodal_Interactions_Between_Biological_Pathways_and_Histology_for_CVPR_2024_paper.html","","peer-reviewed conference","VI","A"
"S17","2026","Pathway-Aware Multimodal Transformer: Integrating Pathological Image and Gene Expression for Interpretable Cancer Survival Analysis","IEEE Transactions on Pattern Analysis and Machine Intelligence","通路感知融合；生存","PAMT用真实表达形成通路表示并与WSI做对比和跨模态融合","PFMval通路可能完全由图像派生，独立性和数据规模不同","A-；直接、同行评议","可声称pathway-aware对齐和可解释融合已有正式架构依据","不可声称同源派生分支提供独立组学增量","https://pubmed.ncbi.nlm.nih.gov/40966149/","10.1109/TPAMI.2025.3611531","peer-reviewed journal","VI","A-"
"S18","2024","A deep-learning framework to predict cancer treatment response from histopathology images through imputed transcriptomics","Nature Cancer","两阶段表达插补；疗效","ENLIGHT-DeepPT先从H&E预测全转录组，再用表达药物匹配分数预测多个独立队列治疗反应","PFMval为ESCC空间30通路及pCR/MPR探索，训练数据和机制均不同","A；多癌种和独立治疗队列、同行评议","可声称H&E到插补表达再到疗效的两阶段范式已有正式证据","不可外推其效应大小、药物机制或临床可用性到PFMval","https://pubmed.ncbi.nlm.nih.gov/38961276/","10.1038/s43018-024-00793-2","peer-reviewed journal","VI","A"
"S19","2024","Harnessing TME depicted by histological images to improve cancer prognosis through a deep learning system","Cell Reports Medicine","预测ST；预后","IGI-DL先由核图和图像预测空间表达，再以预测TME图进行生存分析","PFMval关注治疗反应和通路输出，而非其特定图生存模型","A-；外部预后评价、同行评议","可声称预测空间表达可作为下游结局建模的派生表示","不可声称预测表达等同实测分子机制或已验证pCR/MPR","https://pubmed.ncbi.nlm.nih.gov/38697103/","10.1016/j.xcrm.2024.101536","peer-reviewed journal","VI","A-"
"S20","2026","Generating crossmodal gene expression from cancer histopathology improves multimodal AI predictions","Nature Communications","合成表达；同源融合；不确定性","PathGen从WSI合成表达，再与原WSI共同预测分级和生存，并使用conformal prediction","这是与PFMval最接近的同一图像产生两路表示情形，但其样本量和任务更大","A-；多队列且有外部测试、同行评议","可声称同源派生表达分支可作为需严格对照的研究假设，并应加入不确定性评估","不可把合成表达称为独立模态，也不可排除额外容量或批次效应","https://www.nature.com/articles/s41467-025-66961-9","10.1038/s41467-025-66961-9","peer-reviewed journal","VI","A-"
"S21","2025","Integration of Gene Expression and Digital Histology to Predict Treatment-Specific Responses in Breast Cancer","medRxiv","基因签名；pCR；治疗特异","在I-SPY2优化H&E推断基因签名并在多个乳腺癌外部队列评估pCR","PFMval为ESCC小样本且该文尚未同行评议","C；预印本、外部队列但未同行评议","可仅声称已有预印本探索H&E派生基因签名与新辅助反应","不可作为已确认临床证据或外推至ESCC","https://pubmed.ncbi.nlm.nih.gov/40909848/","10.1101/2025.08.25.25334393","preprint","VI","C"
"S22","2021","Multimodal Co-Attention Transformer for Survival Prediction in Gigapixel Whole Slide Images","ICCV","真实图像-组学融合","MCAT以真实独立组学和WSI共注意预测患者生存","PFMval派生通路若来自同一H&E，不具备相同模态独立性","A-；经典直接研究、同行评议","可声称共注意及unimodal对照是融合研究的成熟设计","不可把真实组学融合结果直接转作同源派生分支证据","https://openaccess.thecvf.com/content/ICCV2021/html/Chen_Multimodal_Co-Attention_Transformer_for_Survival_Prediction_in_Gigapixel_Whole_Slide_ICCV_2021_paper.html","","peer-reviewed conference","VI","A-"
"S23","2022","Pathomic Fusion: An Integrated Framework for Fusing Histopathology and Genomic Features for Cancer Diagnosis and Prognosis","IEEE Transactions on Medical Imaging","真实图像-基因组融合","Pathomic Fusion用门控机制融合WSI与真实mutation、CNV和RNA特征","PFMval的通路可能为H&E派生，不是独立采集组学","A-；经典直接研究、同行评议","可声称门控融合和unimodal比较已有成熟先例","不可称其验证了同源伪组学的独立贡献","https://pubmed.ncbi.nlm.nih.gov/32881682/","10.1109/TMI.2020.3021387","peer-reviewed journal","VI","A-"
"S24","2022","Pan-cancer integrative histology-genomic analysis via multimodal deep learning","Cancer Cell","泛癌真实多模态；预后","PORPOISE在14癌种融合WSI、RNA、CNV和mutation预测生存并做归因","PFMval规模小且通路可能由图像生成，中心和批次结构也不同","A-；大样本泛癌、同行评议","可声称患者级unimodal与multimodal比较是必要设计","不可直接外推多模态增益，亦不可忽视批次效应","https://pubmed.ncbi.nlm.nih.gov/35944502/","10.1016/j.ccell.2022.07.004","peer-reviewed journal","VI","A-"
"S25","2023","Multimodal deep learning: An improvement in prognostication or a reflection of batch effect?","Cancer Cell","批次效应；反证","该评论重新审视泛癌多模态预后增益，指出结果可能部分反映批次或中心混杂","PFMval患者数更少，任何中心、批次或患者身份信号都可能更突出","B；正式评论与复核、同行评议","可声称多模态或派生分支增益必须排除批次和患者身份混杂","不可据此断言所有多模态研究无效","https://pubmed.ncbi.nlm.nih.gov/36368319/","10.1016/j.ccell.2022.10.025","peer-reviewed comment","VI","B"
"S26","2024","TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods","BMJ","报告规范","TRIPOD+AI提供AI预测模型开发与验证的报告清单，覆盖数据拆分、性能、亚组和开放性","PFMval需要把其条目落实到小样本病理和连续通路/患者结局两类任务","A；国际共识报告指南、同行评议","可声称TRIPOD+AI用于本轮稿件准备参考","正式条目映射完成前不可声称已遵循；遵循报告指南也不等同低偏倚或模型有效","https://www.bmj.com/content/385/bmj-2023-078378","10.1136/bmj-2023-078378","peer-reviewed guideline","VII","A"
"S27","2025","PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods","BMJ","偏倚风险；适用性","PROBAST+AI从参与者与数据、预测因子、结局和分析评估开发质量及性能偏倚","PFMval必须特别审查患者聚类、结局盲法、样本量和分析泄漏","A；国际共识评价工具、同行评议","可声称PROBAST+AI用于识别待评估的偏倚与适用性问题","四域逐题评估完成前不可声称已正式审计；不可与TRIPOD+AI互换或当作性能证明","https://www.bmj.com/content/388/bmj-2024-082505","10.1136/bmj-2024-082505","peer-reviewed guideline","VII","A"
"S28","2024","Developing clinical prediction models: a step-by-step guide","BMJ","模型开发；重采样；校准","提供从目标、数据、缺失值、建模到内部验证的系统步骤，并强调综合性能评价","PFMval仅7患者，复杂模型和简单随机拆分尤其易过拟合","A；方法指南、同行评议","可声称应使用患者级重采样并同时评价区分度、校准和整体误差","不可声称7患者足以支持复杂临床模型开发","https://www.bmj.com/content/386/bmj-2023-078276","10.1136/bmj-2023-078276","peer-reviewed methods guidance","VII","A"
"S29","2024","Evaluation of clinical prediction models (part 1): from development to external validation","BMJ","内部与外部验证；异质性","区分内部、内部-外部和外部验证，并强调按cluster重采样和目标人群代表性","PFMval多patch嵌套于少数患者，必须以患者为拆分单位","A；方法指南、同行评议","可声称患者级隔离和patient-balanced汇总是可信度核心","不可把内部交叉验证称为外部验证","https://www.bmj.com/content/384/bmj-2023-074819","10.1136/bmj-2023-074819","peer-reviewed methods guidance","VII","A"
"S30","2024","Evaluation of clinical prediction models (part 2): how to undertake an external validation study","BMJ","外部验证；校准；临床效用","规定冻结模型在目标人群评价整体拟合、校准、区分度、亚组与临床效用","PFMval当前主要是内部小样本探索，尚不等同真正外部验证","A；方法指南、同行评议","可声称结局预测需同时报告AUROC或AUPRC、Brier和校准","不可在无临床阈值和足够样本时强行解释decision curve","https://www.bmj.com/content/384/bmj-2023-074820","10.1136/bmj-2023-074820","peer-reviewed methods guidance","VII","A"
"S31","2024","Evaluation of clinical prediction models (part 3): calculating the sample size required for an external validation study","BMJ","验证样本量；不确定性","说明小验证样本会产生宽置信区间和不稳定校准，并给出精度导向样本量原则","PFMval只有7患者，结局估计只能定位为探索性","A；方法指南、同行评议","可声称必须报告不确定性并限制小样本结论等级","不可用少量患者的点估计宣称临床稳定性","https://www.bmj.com/content/384/bmj-2023-074821","10.1136/bmj-2023-074821","peer-reviewed methods guidance","VII","A"
"S32","2019","Calibration: the Achilles heel of predictive analytics","BMC Medicine","概率校准","系统说明高区分度仍可伴随严重失准，并推荐校准截距、斜率和曲线","主要针对概率风险模型；PFMval的连续通路预测需要另配连续结局校准方法","A；权威方法论文、同行评议","可声称结局分类不能只报告AUROC或AUPRC","不可用校准替代区分度或把概率校准直接套作连续回归结论","https://pubmed.ncbi.nlm.nih.gov/31842878/","10.1186/s12916-019-1466-7","peer-reviewed journal","VI","A"
"S33","1989","A concordance correlation coefficient to evaluate reproducibility","Biometrics","CCC；连续一致性","提出CCC，同时考虑线性精度和偏离45度一致线的准确度","PFMval可用于真实与预测通路分数的一致性，但仍需误差和患者级区间","A；奠基统计方法、同行评议","可声称PCC之外报告CCC可补充绝对一致性","不可把CCC单独解释为临床效用或因果效应","https://pubmed.ncbi.nlm.nih.gov/2720055/","10.2307/2532051","peer-reviewed journal","VI","A"
"S34","2015","The precision-recall plot is more informative than the ROC plot when evaluating binary classifiers on imbalanced datasets","PLOS ONE","AUPRC；类别不平衡","通过模拟和案例强调PR曲线直接反映少数阳性类precision和recall","PFMval临床结局若阳性少，应报告AUPRC但还需患者级置信区间和校准","A-；经典方法比较、同行评议","可声称AUPRC对稀少阳性结局具有重要解释价值","不可声称类别不平衡使AUROC数学失效","https://pubmed.ncbi.nlm.nih.gov/25738806/","10.1371/journal.pone.0118432","peer-reviewed journal","VI","A-"
"S35","2024","The receiver operating characteristic curve accurately assesses imbalanced datasets","Patterns","AUROC与AUPRC边界","模拟表明AUROC对prevalence不变而AUPRC随prevalence改变，两者回答不同问题","PFMval需同时解释排序能力和目标队列阳性预测表现","A-；正式方法研究、同行评议","可声称AUROC和AUPRC应并列且按各自含义解释","不可据此忽略阳性预测值、校准或临床阈值","https://pubmed.ncbi.nlm.nih.gov/39005487/","10.1016/j.patter.2024.100994","peer-reviewed journal","VI","A-"
"S36","2006","Decision curve analysis: a novel method for evaluating prediction models","Medical Decision Making","决策曲线；净获益","提出基于阈值概率的net benefit评价临床决策价值","PFMval当前7患者且临床阈值未必预定义，不适合强结论","A；奠基方法论文、同行评议","可声称在有临床合理阈值和足够样本时应评价净获益","不可在小样本或任意阈值下宣称临床效用","https://pubmed.ncbi.nlm.nih.gov/17099194/","10.1177/0272989X06295361","peer-reviewed journal","VI","A"
"S37","2022","Estimating diagnostic uncertainty in artificial intelligence assisted pathology using conformal prediction","Nature Communications","conformal prediction；病理不确定性","在患者级病理数据上用conformal prediction识别不可靠预测和外部分布偏移","PFMval校准患者极少，难保证细分群体条件覆盖","A-；直接病理应用、同行评议","可声称校准集应与测试隔离并报告覆盖率或拒绝率","不可声称小校准集能保证所有亚组条件覆盖","https://www.nature.com/articles/s41467-022-34945-8","10.1038/s41467-022-34945-8","peer-reviewed journal","VI","A-"
"S38","2010","Negative controls: a tool for detecting confounding and bias in observational studies","Epidemiology","负对照；falsification","定义负暴露和负结局控制以发现未测混杂和分析错误","PFMval需要把该逻辑转换为患者、批次、标签置乱和容量匹配的计算负对照","A；奠基偏倚方法、同行评议","可声称负对照可用于发现泄漏、混杂或虚假增益","不可声称任一shuffle实现都自动充分或能完成偏倚校正","https://pubmed.ncbi.nlm.nih.gov/20335814/","10.1097/EDE.0b013e3181d61eeb","peer-reviewed journal","VI","A"
"S39","2024","Advances in methodologies of negative controls: a scoping review","Journal of Clinical Epidemiology","负对照方法综述","综述负对照用于偏倚检测、校正和区间校准，并指出偏倚校正需要更强假设","PFMval宜优先把负对照作为异常和泄漏检测，而非无偏校正器","A-；方法综述、同行评议","可声称负对照是偏倚诊断和稳健性审计工具","不可把负对照结果直接当作已完成的因果或统计校正","https://pubmed.ncbi.nlm.nih.gov/38040387/","10.1016/j.jclinepi.2023.111228","peer-reviewed review","VI","A-"
"S40","2026","PEaRL: Pathway-Enhanced Representation Learning for Gene and Pathway Expression Prediction from Histology","WACV","H&E到基因与通路表达；pathway-aware对比表征","以UNI图像编码器和通路编码器对齐组织形态与ssGSEA通路分数，并联合预测基因与通路；在乳腺、皮肤和淋巴结3个ST数据集评价","PFMval为7患者固定30通路的本地小样本验证，需独立检验联合头、对比目标与患者级泛化","B；直接任务、正式会议，样本与消融边界有限","可声称pathway-aware联合表征和基因/通路多任务预测已有正式先例","不可声称对比损失本身造成全部增益；缺少严格容量匹配的loss-only消融，且文献数值不可移植","https://openaccess.thecvf.com/content/WACV2026/html/Majumder_PEaRL_Pathway-Enhanced_Representation_Learning_for_Gene_and_Pathway_Expression_Prediction_WACV_2026_paper.html","10.1109/WACV61042.2026.00777","peer-reviewed conference","VI","B"
"S41","2026","DeepPathway: Predicting Pathway Expression from Histopathology Images","Bioinformatics","H&E到通路表达；跨模态对比学习","以空间转录组配对H&E学习对比表征并从H&E预测通路表达；多癌种评价，并展示TCGA肿瘤/正常及缺氧签名应用","PFMval为7患者固定30通路的小样本患者级验证，不等同多癌种或下游生物学展示","B；直接任务、同行评议，终版实施细节仍需核查","可声称从H&E直接预测通路表达已成为有正式期刊先例的独立任务方向","不可把accepted稿件状态当作科学等级；官方摘要不能支持“软目标”或特定BLEEP/Optimus实现细节","https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btag643/8771241","10.1093/bioinformatics/btag643","accepted manuscript (peer reviewed)","VI","B"
"S42","2025","A Large-Scale Benchmark of Cross-Modal Learning for Histology and Gene Expression in Spatial Transcriptomics","ICCV Workshops","跨模态基准；HESCAPE；批次效应","HESCAPE覆盖54名供体和6类基因面板，比较图像/基因编码器及突变分类与表达预测；对比预训练改善突变分类却降低直接表达预测，并揭示批次效应","PFMval输出固定通路分数且患者更少，需要把表示学习收益按具体回归任务和患者划分重新验证","B-；直接大型基准、正式会议workshop，任务异质性较高","可声称对比预训练的收益具有任务依赖性，并可能损害直接表达回归","不可声称对比学习总会改善表达预测，也不可把突变分类增益外推到PFMval","https://openaccess.thecvf.com/content/ICCV2025W/CVAMD/html/Gindra_A_Large-Scale_Benchmark_of_Cross-Modal_Learning_for_Histology_and_Gene_ICCVW_2025_paper.html","","peer-reviewed conference","VI","B-"
"S43","2023","Spatially Resolved Gene Expression Prediction from Histology Images via Bi-modal Contrastive Learning","NeurIPS","空间表达预测；双模态对比学习；BLEEP","在配对图像-表达参考库中学习共享嵌入，并以查询图像检索和加权参考表达实现空间表达插补","PFMval评估图像到固定通路分数；本地测试不得把测试患者表达纳入参考库或形成标签泄漏","B；直接任务、正式主会，但依赖参考表达库","可声称共享嵌入与双模态对比插补已有正式先例","不可将BLEEP描述为不依赖参考表达的纯图像绝对生成；也不可在测试患者表达参与参考库时声称独立外部预测","https://proceedings.neurips.cc/paper_files/paper/2023/hash/df656d6ed77b565e8dcdfbf568aead0a-Abstract.html","10.52202/075280-3095","peer-reviewed conference","VI","B"
"S44","2024","Towards a general-purpose foundation model for computational pathology","Nature Medicine","病理基础模型；自监督图像编码器；UNI","UNI在超过1亿个组织图块和10万张诊断WSI上自监督预训练，并在34项计算病理任务中评价","PFMval可把UNI作为冻结或轻量适配的图像编码器候选；其分类、检索结果不等同通路回归有效性","A-；大规模正式期刊，但对通路回归为间接证据","可声称大规模自监督病理预训练可提供通用图像表征，也是PEaRL所用图像编码器的正式来源","不可声称UNI在PFMval通路回归上必然优于其他编码器或已具临床有效性","https://www.nature.com/articles/s41591-024-02857-3","10.1038/s41591-024-02857-3","peer-reviewed journal","VI","B+"
